latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-36.49279,-72.69133,367,0.4,0.6,2026-01-14,0501,N21,VIIRS,h,2.0NRT,290.71,9.54,N
-36.49391,-72.68716,295.09,0.4,0.6,2026-01-14,0501,N21,VIIRS,n,2.0NRT,283.54,9.54,N
-36.6054,-72.62371,324.02,0.39,0.59,2026-01-14,0501,N21,VIIRS,n,2.0NRT,291.84,12.01,N
-36.60643,-72.6199,367,0.39,0.59,2026-01-14,0501,N21,VIIRS,h,2.0NRT,308.91,187.75,N
-36.60442,-72.62737,304.56,0.39,0.59,2026-01-14,0501,N21,VIIRS,n,2.0NRT,290.84,12.01,N
-36.60851,-72.61211,305.49,0.39,0.59,2026-01-14,0501,N21,VIIRS,n,2.0NRT,288.15,11.91,N
-36.61087,-72.62517,367,0.39,0.59,2026-01-14,0501,N21,VIIRS,h,2.0NRT,293.94,59.34,N
-36.61293,-72.61752,367,0.39,0.59,2026-01-14,0501,N21,VIIRS,h,2.0NRT,298.69,79.61,N
-36.61393,-72.61377,327.41,0.39,0.59,2026-01-14,0501,N21,VIIRS,n,2.0NRT,293.03,6.72,N
-36.60983,-72.62905,306.7,0.39,0.59,2026-01-14,0501,N21,VIIRS,n,2.0NRT,289.66,59.34,N
-36.61498,-72.60986,310.12,0.39,0.59,2026-01-14,0501,N21,VIIRS,n,2.0NRT,289.05,6.72,N
-36.61928,-72.61565,367,0.39,0.59,2026-01-14,0501,N21,VIIRS,h,2.0NRT,297.35,6.72,N
-36.61725,-72.62323,305.62,0.39,0.59,2026-01-14,0501,N21,VIIRS,n,2.0NRT,289.63,79.61,N
-36.61827,-72.61941,309.05,0.39,0.59,2026-01-14,0501,N21,VIIRS,n,2.0NRT,289.99,79.61,N
-36.6203,-72.61185,314.42,0.39,0.59,2026-01-14,0501,N21,VIIRS,n,2.0NRT,289.67,6.72,N
-36.59735,-72.63099,340.42,0.47,0.64,2026-01-14,0641,N21,VIIRS,n,2.0NRT,290.27,19.63,N
-36.59762,-72.62471,330.05,0.47,0.64,2026-01-14,0641,N21,VIIRS,n,2.0NRT,290.4,19.42,N
-36.5979,-72.61839,305.49,0.47,0.64,2026-01-14,0641,N21,VIIRS,n,2.0NRT,289.43,19.42,N
-36.60329,-72.63215,337.21,0.47,0.64,2026-01-14,0641,N21,VIIRS,n,2.0NRT,289.8,19.63,N
-36.60358,-72.62539,354.75,0.47,0.64,2026-01-14,0641,N21,VIIRS,n,2.0NRT,303.46,19.42,N
-36.60387,-72.6188,352.62,0.47,0.64,2026-01-14,0641,N21,VIIRS,n,2.0NRT,291.82,19.42,N
-36.60414,-72.61273,303.32,0.47,0.64,2026-01-14,0641,N21,VIIRS,n,2.0NRT,288.48,4.92,N
-36.60954,-72.62652,367,0.47,0.64,2026-01-14,0641,N21,VIIRS,h,2.0NRT,308.98,41.4,N
-36.60981,-72.62029,347.07,0.47,0.64,2026-01-14,0641,N21,VIIRS,n,2.0NRT,303.66,41.4,N
-36.61009,-72.61385,332.71,0.47,0.64,2026-01-14,0641,N21,VIIRS,n,2.0NRT,290.16,9.14,N
-36.60925,-72.63288,300.14,0.47,0.64,2026-01-14,0641,N21,VIIRS,n,2.0NRT,287.89,22.98,N
-36.61576,-72.62119,344.16,0.47,0.64,2026-01-14,0641,N21,VIIRS,n,2.0NRT,290.73,41.4,N
-36.61605,-72.61483,306.01,0.47,0.64,2026-01-14,0641,N21,VIIRS,n,2.0NRT,289.24,9.14,N
-37.49272,-72.59817,332.63,0.51,0.41,2026-01-14,1902,N21,VIIRS,l,2.0NRT,307.39,10.22,D
-36.6172,-72.61768,342.77,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,303.58,14.32,D
-36.61219,-72.61278,338.2,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,307.07,8.87,D
-36.60344,-72.60911,333.62,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,302.46,113.95,D
-36.60586,-72.62104,340.87,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,303.25,10,D
-36.60087,-72.61618,342.81,0.52,0.42,2026-01-14,1902,N21,VIIRS,l,2.0NRT,316.3,113.95,D
-36.60211,-72.62226,347.18,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,304.12,10,D
-36.60336,-72.62842,339.18,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,301.82,10,D
-36.60462,-72.63462,333.3,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,304.37,12.53,D
-36.61055,-72.61534,339.95,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,307.35,26.28,D
-36.60559,-72.61047,334.86,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,300.71,105.03,D
-36.60677,-72.61641,351.74,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,304.95,95.11,D
-36.59805,-72.61276,346.51,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,301.61,135.5,D
-36.60044,-72.62492,353.81,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,304.74,66.63,D
-36.60167,-72.6311,352.59,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,309.63,27.28,D
-36.59925,-72.61885,317.76,0.52,0.42,2026-01-14,1902,N21,VIIRS,l,2.0NRT,321.17,66.63,D
-36.59669,-72.62613,338.57,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,304.29,66.63,D
-36.59789,-72.63223,346.01,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,306.75,27.28,D
-36.59054,-72.61526,353.54,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,308.62,42.85,D
-36.59172,-72.62127,353.03,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,319.27,109.97,D
-36.59291,-72.62724,350.8,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,323.28,109.97,D
-36.59411,-72.63333,351.52,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,310.59,66.66,D
-36.58795,-72.6224,367,0.52,0.42,2026-01-14,1902,N21,VIIRS,h,2.0NRT,335.13,109.97,D
-36.58911,-72.62827,367,0.52,0.42,2026-01-14,1902,N21,VIIRS,h,2.0NRT,334.23,109.97,D
-36.58677,-72.61645,337.94,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,306.3,42.85,D
-36.59034,-72.63445,347.82,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,317.45,66.66,D
-36.59153,-72.6405,303.34,0.52,0.42,2026-01-14,1902,N21,VIIRS,l,2.0NRT,311.57,66.66,D
-36.58533,-72.62935,339.18,0.52,0.42,2026-01-14,1902,N21,VIIRS,n,2.0NRT,301.44,9.32,D
-36.49092,-72.68913,332.75,0.52,0.42,2026-01-14,1902,N21,VIIRS,l,2.0NRT,305.48,4.18,D
-36.588,-72.58175,300.9,0.69,0.74,2026-01-15,0444,N21,VIIRS,n,2.0NRT,283.01,1.73,N
-36.58353,-72.62012,330.43,0.69,0.74,2026-01-15,0444,N21,VIIRS,n,2.0NRT,283.87,7.24,N
-36.59938,-72.56908,337.6,0.68,0.74,2026-01-15,0444,N21,VIIRS,n,2.0NRT,284.34,7.38,N
-36.58126,-72.6274,303.29,0.69,0.74,2026-01-15,0444,N21,VIIRS,n,2.0NRT,282.88,7.24,N
-36.58559,-72.61347,302.61,0.69,0.74,2026-01-15,0444,N21,VIIRS,n,2.0NRT,283.27,4.9,N
