latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-36.62083,-72.61134,303.18,1.58,1.24,2026-01-14,0240,Terra,MODIS,54,6.1NRT,289.57,12.43,N
-36.61004,-72.61473,338.18,1.58,1.24,2026-01-14,0240,Terra,MODIS,100,6.1NRT,291.75,81.41,N
-36.61348,-72.63289,313.05,1.58,1.24,2026-01-14,0240,Terra,MODIS,86,6.1NRT,289.25,25.06,N
-36.58574,-72.63025,302.06,1.46,1.19,2026-01-14,0713,Aqua,MODIS,31,6.1NRT,288.44,10.76,N
-36.58872,-72.61494,302.98,1.46,1.19,2026-01-14,0713,Aqua,MODIS,35,6.1NRT,288.71,11.36,N
-36.59624,-72.63282,348.96,1.46,1.19,2026-01-14,0713,Aqua,MODIS,100,6.1NRT,289.4,106.36,N
-36.59915,-72.6179,396.8,1.46,1.19,2026-01-14,0713,Aqua,MODIS,100,6.1NRT,301.13,408.9,N
-36.60961,-72.62065,371.01,1.46,1.19,2026-01-14,0713,Aqua,MODIS,100,6.1NRT,295.34,209.19,N
-36.61259,-72.60526,327.27,1.45,1.19,2026-01-14,0713,Aqua,MODIS,100,6.1NRT,291.7,45.15,N
-36.5938,-72.64191,321.8,1.14,1.06,2026-01-14,1342,Terra,MODIS,79,6.1NRT,294.38,19.54,D
-36.59533,-72.62897,360.85,1.14,1.07,2026-01-14,1342,Terra,MODIS,100,6.1NRT,299.16,103.86,D
-36.59687,-72.61594,316.26,1.14,1.07,2026-01-14,1342,Terra,MODIS,32,6.1NRT,295.54,12.33,D
-36.6048,-72.63087,342.14,1.14,1.07,2026-01-14,1342,Terra,MODIS,92,6.1NRT,295.03,51.65,D
-36.60636,-72.61771,337.35,1.14,1.07,2026-01-14,1342,Terra,MODIS,90,6.1NRT,297.97,42.37,D
-36.7452,-72.46533,308.7,1.16,1.07,2026-01-14,1342,Terra,MODIS,39,6.1NRT,296.83,5.15,D
-36.97417,-72.92652,306.91,1.12,1.06,2026-01-14,1342,Terra,MODIS,28,6.1NRT,296.48,6.31,D
-37.0856,-72.43107,306.4,1.18,1.08,2026-01-14,1342,Terra,MODIS,27,6.1NRT,295.32,4.1,D
-37.17383,-72.94995,307.15,1.12,1.06,2026-01-14,1342,Terra,MODIS,39,6.1NRT,295.77,4.6,D
-37.24516,-73.31667,306.09,1.09,1.04,2026-01-14,1342,Terra,MODIS,40,6.1NRT,295.7,5.1,D
-37.48311,-73.33694,305.82,1.1,1.04,2026-01-14,1342,Terra,MODIS,33,6.1NRT,293.91,5.41,D
-36.60219,-72.58529,354.15,1.89,1.34,2026-01-14,2050,Aqua,MODIS,92,6.1NRT,295.36,163.2,D
-36.59035,-72.58813,324.26,1.89,1.34,2026-01-14,2050,Aqua,MODIS,64,6.1NRT,295.72,39.84,D
-36.59471,-72.60863,392.76,1.88,1.34,2026-01-14,2050,Aqua,MODIS,100,6.1NRT,304.4,513.5,D
-36.5993,-72.63028,366.38,1.87,1.34,2026-01-14,2050,Aqua,MODIS,100,6.1NRT,304.17,241.07,D
-36.59764,-72.59145,387.63,1.89,1.34,2026-01-14,2050,Aqua,MODIS,100,6.1NRT,299.32,457.55,D
-36.60181,-72.61178,422.64,1.88,1.34,2026-01-14,2050,Aqua,MODIS,100,6.1NRT,314.41,1033.69,D
-36.58591,-72.5948,312.06,1.89,1.34,2026-01-14,2050,Aqua,MODIS,29,6.1NRT,297.38,13.8,D
-36.59022,-72.61575,379.34,1.88,1.34,2026-01-14,2050,Aqua,MODIS,100,6.1NRT,302.97,363.37,D
-36.60485,-72.59139,320.8,2.68,1.57,2026-01-15,0143,Terra,MODIS,100,6.1NRT,286.97,85.87,N
-36.58907,-72.56454,316.86,2.66,1.57,2026-01-15,0143,Terra,MODIS,94,6.1NRT,285.22,69.55,N
-36.59091,-72.59392,326.45,2.68,1.57,2026-01-15,0143,Terra,MODIS,100,6.1NRT,286.71,111.56,N
-36.59267,-72.62218,301.47,2.69,1.57,2026-01-15,0143,Terra,MODIS,30,6.1NRT,285.02,27.2,N
-36.58621,-72.60122,313.52,2.68,1.57,2026-01-15,0143,Terra,MODIS,58,6.1NRT,285.13,57.98,N
-37.474,-72.37249,314.82,2.29,1.46,2026-01-15,1949,Aqua,MODIS,32,6.1NRT,299.5,19.58,D
-37.03832,-72.40305,314.33,2.27,1.46,2026-01-15,1949,Aqua,MODIS,46,6.1NRT,302.55,19.38,D
-36.61594,-72.63059,325.62,2.32,1.47,2026-01-15,1949,Aqua,MODIS,68,6.1NRT,298.33,59.63,D
-36.61841,-72.63707,318.47,2.32,1.47,2026-01-15,1949,Aqua,MODIS,53,6.1NRT,297.63,36.18,D
-36.60526,-72.63841,319.76,2.32,1.47,2026-01-15,1949,Aqua,MODIS,26,6.1NRT,297.71,37.52,D
-36.59022,-72.61655,338.99,2.31,1.47,2026-01-15,1949,Aqua,MODIS,89,6.1NRT,300.82,114.94,D
-36.59215,-72.6403,331.4,2.32,1.47,2026-01-15,1949,Aqua,MODIS,69,6.1NRT,300.36,80.1,D
-36.5791,-72.64297,320.97,2.32,1.47,2026-01-15,1949,Aqua,MODIS,68,6.1NRT,298.35,43.25,D
-36.62051,-72.61607,318.16,1.01,1,2026-01-16,0219,Terra,MODIS,96,6.1NRT,289.56,16.93,N
-36.5971,-72.64442,309.71,1.01,1,2026-01-16,0219,Terra,MODIS,30,6.1NRT,289.62,9.22,N
-36.5834,-72.613,304.58,1.01,1,2026-01-16,0219,Terra,MODIS,35,6.1NRT,289.17,6.14,N
-36.58823,-72.64638,327.34,1.01,1,2026-01-16,0219,Terra,MODIS,100,6.1NRT,290.43,25.58,N
-36.57613,-72.62612,334.56,1.01,1,2026-01-16,0219,Terra,MODIS,100,6.1NRT,291.41,34.99,N
-36.5817,-72.61857,314.09,1.08,1.04,2026-01-16,1322,Terra,MODIS,64,6.1NRT,300.49,8.36,D
-36.74567,-72.46954,305.71,1.07,1.03,2026-01-16,1322,Terra,MODIS,40,6.1NRT,294.66,3.22,D
-37.17678,-72.94736,304.99,1.09,1.04,2026-01-16,1322,Terra,MODIS,41,6.1NRT,294.92,3.74,D
-37.24778,-73.31484,305.67,1.12,1.06,2026-01-16,1322,Terra,MODIS,54,6.1NRT,295.27,5.52,D
-37.48259,-73.34224,304.29,1.12,1.05,2026-01-16,1322,Terra,MODIS,21,6.1NRT,293.47,5.05,D
-37.48464,-73.3299,303.38,1.12,1.05,2026-01-16,1322,Terra,MODIS,29,6.1NRT,292.81,4.57,D
-36.59006,-72.60614,321.95,1.04,1.02,2026-01-16,2029,Aqua,MODIS,62,6.1NRT,310.84,7.31,D
-36.59188,-72.61759,332.04,1.04,1.02,2026-01-16,2029,Aqua,MODIS,82,6.1NRT,314.05,20.34,D
-36.58293,-72.61977,350.51,1.04,1.02,2026-01-16,2029,Aqua,MODIS,95,6.1NRT,314.34,52.41,D
-36.58475,-72.63118,349.31,1.04,1.02,2026-01-16,2029,Aqua,MODIS,94,6.1NRT,315.96,50.83,D
-37.46784,-72.36011,310.81,2.3,1.47,2026-01-17,1401,Terra,MODIS,44,6.1NRT,293.45,20.02,D
-36.79063,-72.90108,357.89,3.21,1.7,2026-01-17,2108,Aqua,MODIS,99,6.1NRT,299.66,391.62,D
-36.77618,-72.90694,379.08,3.21,1.7,2026-01-17,2108,Aqua,MODIS,100,6.1NRT,294.27,771.84,D
-36.7935,-72.90468,357.38,3.21,1.7,2026-01-17,2108,Aqua,MODIS,98,6.1NRT,300.79,388.37,D
-36.77896,-72.91016,397.49,3.21,1.7,2026-01-17,2108,Aqua,MODIS,100,6.1NRT,297,1259.82,D
-37.41926,-72.59108,319.41,1.36,1.15,2026-01-18,0200,Terra,MODIS,99,6.1NRT,291.27,27.84,N
-37.42081,-72.6062,328.57,1.36,1.15,2026-01-18,0200,Terra,MODIS,100,6.1NRT,291.91,43.3,N
-36.9241,-72.8913,324.48,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,295.27,35.34,N
-36.92569,-72.90676,306.1,1.39,1.17,2026-01-18,0202,Terra,MODIS,67,6.1NRT,292.81,9.66,N
-36.91216,-72.87765,349.13,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,297.28,96,N
-36.91368,-72.89259,379.46,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,304.24,242.57,N
-36.91525,-72.90806,333.3,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,294.42,51.17,N
-36.90178,-72.87926,364.87,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,298.52,159.31,N
-36.90328,-72.89412,378.03,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,304.7,232.07,N
-36.90485,-72.90968,330.23,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,295.48,42.8,N
-36.84406,-72.41957,314.16,1.31,1.13,2026-01-18,0202,Terra,MODIS,62,6.1NRT,293.53,16.67,N
-36.8914,-72.88088,386.02,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,303.28,288.43,N
-36.8929,-72.89579,411.67,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,313.8,531.02,N
-36.89447,-72.91142,363.08,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,298.4,149.33,N
-36.83397,-72.42133,317.89,1.31,1.13,2026-01-18,0202,Terra,MODIS,93,6.1NRT,293.34,21.09,N
-36.83549,-72.43588,309.22,1.31,1.14,2026-01-18,0202,Terra,MODIS,13,6.1NRT,291.69,10.83,N
-36.88102,-72.88244,403.7,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,305.18,443.89,N
-36.88253,-72.89761,429.28,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,315.1,770.51,N
-36.88409,-72.91316,369.74,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,298.18,181.47,N
-36.82388,-72.42302,341,1.31,1.13,2026-01-18,0202,Terra,MODIS,100,6.1NRT,296.38,63.74,N
-36.82538,-72.43752,315.74,1.31,1.14,2026-01-18,0202,Terra,MODIS,30,6.1NRT,292.1,17.47,N
-36.87063,-72.88398,348.15,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,296.48,92.8,N
-36.87217,-72.8995,383.95,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,307.17,271.34,N
-36.8737,-72.91484,333.26,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,295.76,47.52,N
-36.8123,-72.41029,319.34,1.31,1.13,2026-01-18,0202,Terra,MODIS,47,6.1NRT,296.98,22.32,N
-36.81379,-72.42472,326.74,1.31,1.13,2026-01-18,0202,Terra,MODIS,100,6.1NRT,294.92,33.47,N
-36.86033,-72.88634,343.74,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,296.11,78.74,N
-36.86182,-72.9015,402.56,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,309.89,430.24,N
-36.8633,-72.91653,365.54,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,298.15,157.81,N
-36.80072,-72.39744,337.99,1.3,1.13,2026-01-18,0202,Terra,MODIS,100,6.1NRT,295.97,57.25,N
-36.80221,-72.41193,346.33,1.31,1.13,2026-01-18,0202,Terra,MODIS,100,6.1NRT,300.21,78.82,N
-36.80369,-72.42642,356.56,1.31,1.13,2026-01-18,0202,Terra,MODIS,100,6.1NRT,297.64,113.03,N
-36.84996,-72.88808,315.15,1.39,1.17,2026-01-18,0202,Terra,MODIS,91,6.1NRT,294.65,19.33,N
-36.85147,-72.9035,382.55,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,308.45,260.97,N
-36.85296,-72.91868,367.25,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,300.75,166.54,N
-36.80245,-72.40276,340.86,1.3,1.13,2026-01-18,0202,Terra,MODIS,100,6.1NRT,298.28,64.97,N
-36.80402,-72.41727,352.3,1.31,1.13,2026-01-18,0202,Terra,MODIS,100,6.1NRT,301.07,98.03,N
-36.80556,-72.43166,329.05,1.31,1.13,2026-01-18,0202,Terra,MODIS,100,6.1NRT,294.41,40.01,N
-36.85434,-72.89307,357.48,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,300.07,126.06,N
-36.8559,-72.90813,382.16,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,307.39,258.17,N
-36.85745,-72.92317,326.37,1.39,1.17,2026-01-18,0202,Terra,MODIS,100,6.1NRT,294.91,32.18,N
-36.79082,-72.39001,303.2,1.3,1.13,2026-01-18,0202,Terra,MODIS,54,6.1NRT,291.97,7.34,N
-36.79237,-72.40443,330.51,1.3,1.13,2026-01-18,0202,Terra,MODIS,100,6.1NRT,296.31,42.97,N
-36.79392,-72.41891,330.23,1.31,1.13,2026-01-18,0202,Terra,MODIS,100,6.1NRT,296.81,41.49,N
