latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-36.49007,-72.68931,341.35,0.56,0.43,2026-01-14,0531,N,VIIRS,n,2.0NRT,285.21,8.04,N
-36.60162,-72.61933,332.92,0.55,0.43,2026-01-14,0531,N,VIIRS,n,2.0NRT,292.18,32.29,N
-36.60553,-72.62051,350.75,0.55,0.43,2026-01-14,0531,N,VIIRS,n,2.0NRT,316.87,32.29,N
-36.60434,-72.62626,304.75,0.55,0.43,2026-01-14,0531,N,VIIRS,n,2.0NRT,290.37,32.29,N
-36.60947,-72.6215,367,0.55,0.43,2026-01-14,0531,N,VIIRS,h,2.0NRT,343.72,98.59,N
-36.61069,-72.61567,337.24,0.55,0.43,2026-01-14,0531,N,VIIRS,n,2.0NRT,302.33,20.16,N
-36.60826,-72.62736,311.19,0.55,0.43,2026-01-14,0531,N,VIIRS,n,2.0NRT,290.21,98.59,N
-36.61192,-72.60976,301.6,0.55,0.43,2026-01-14,0531,N,VIIRS,n,2.0NRT,288.64,20.16,N
-36.6134,-72.62258,334.08,0.55,0.43,2026-01-14,0531,N,VIIRS,n,2.0NRT,306.87,98.59,N
-36.6146,-72.61681,341.29,0.55,0.43,2026-01-14,0531,N,VIIRS,n,2.0NRT,295.81,20.16,N
-36.61581,-72.61097,341.22,0.55,0.43,2026-01-14,0531,N,VIIRS,n,2.0NRT,295.74,20.16,N
-36.61218,-72.62847,300.88,0.55,0.43,2026-01-14,0531,N,VIIRS,n,2.0NRT,288.81,98.59,N
-36.6185,-72.61797,330.01,0.55,0.43,2026-01-14,0531,N,VIIRS,n,2.0NRT,289.76,10.64,N
-36.61972,-72.61214,333.05,0.55,0.43,2026-01-14,0531,N,VIIRS,n,2.0NRT,290.2,10.64,N
-36.60676,-72.6152,340.82,0.5,0.66,2026-01-14,1751,N,VIIRS,n,2.0NRT,296.5,11.01,D
-36.60055,-72.61572,367,0.5,0.66,2026-01-14,1751,N,VIIRS,h,2.0NRT,296.53,18.25,D
-36.60094,-72.62568,367,0.5,0.66,2026-01-14,1751,N,VIIRS,h,2.0NRT,296.53,18.31,D
-36.60113,-72.63052,367,0.5,0.66,2026-01-14,1751,N,VIIRS,h,2.0NRT,297.83,18.31,D
-36.60075,-72.62078,346.14,0.5,0.66,2026-01-14,1751,N,VIIRS,n,2.0NRT,295.56,18.25,D
-36.60131,-72.63536,335.27,0.5,0.66,2026-01-14,1751,N,VIIRS,n,2.0NRT,292.38,14.09,D
-36.59434,-72.61595,367,0.5,0.66,2026-01-14,1751,N,VIIRS,h,2.0NRT,295.6,18.25,D
-36.59473,-72.62615,367,0.5,0.66,2026-01-14,1751,N,VIIRS,h,2.0NRT,297.74,18.31,D
-36.59492,-72.63127,367,0.5,0.66,2026-01-14,1751,N,VIIRS,h,2.0NRT,298.81,18.31,D
-36.59454,-72.62101,356.98,0.5,0.66,2026-01-14,1751,N,VIIRS,n,2.0NRT,301.13,18.25,D
-36.59512,-72.63636,356.31,0.5,0.66,2026-01-14,1751,N,VIIRS,n,2.0NRT,296.16,14.09,D
-36.58813,-72.61634,367,0.5,0.66,2026-01-14,1751,N,VIIRS,h,2.0NRT,300.45,91.37,D
-36.58833,-72.62158,367,0.5,0.66,2026-01-14,1751,N,VIIRS,h,2.0NRT,310.69,91.37,D
-36.58873,-72.63219,367,0.5,0.66,2026-01-14,1751,N,VIIRS,h,2.0NRT,299.06,169.41,D
-36.58892,-72.637,350,0.5,0.66,2026-01-14,1751,N,VIIRS,n,2.0NRT,297.08,32.66,D
